Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C52,0.1uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder_rectpads,70.485mm,-77.47mm,90.0,bottom
C53,0.1uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder_rectpads,64.135mm,-77.47mm,-90.0,bottom
C54,0.1uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder_rectpads,70.485mm,-90.805mm,0.0,bottom
C55,0.1uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder_rectpads,65.405mm,-93.98mm,-90.0,bottom
C56,0.1uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder_rectpads,59.69mm,-106.045mm,-90.0,bottom
C57,0.1uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder_rectpads,41.275mm,-93.345mm,0.0,bottom
C58,0.1uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder_rectpads,33.655mm,-95.885mm,-90.0,bottom
C59,0.1uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder_rectpads,37.465mm,-104.14mm,-90.0,bottom
C60,0.1uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder_rectpads,37.465mm,-109.855mm,90.0,bottom
C61,0.1uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder_rectpads,27.305mm,-100.33mm,90.0,bottom
C62,0.1uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder_rectpads,33.02mm,-115.57mm,-90.0,bottom
C63,0.1uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder_rectpads,43.815mm,-114.935mm,-90.0,bottom
C64,0.1uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder_rectpads,46.355mm,-114.935mm,-90.0,bottom
C65,0.1uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder_rectpads,51.435mm,-114.935mm,-90.0,bottom
C66,0.1uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder_rectpads,53.975mm,-114.935mm,-90.0,bottom
C67,0.1uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder_rectpads,47.625mm,-126.365mm,-90.0,bottom
C68,0.1uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder_rectpads,59.055mm,-126.365mm,-90.0,bottom
C69,1uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder_rectpads,65.405mm,-110.49mm,-90.0,bottom
C70,1uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder_rectpads,56.515mm,-114.935mm,-90.0,bottom
C71,1uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder_rectpads,40.005mm,-109.855mm,90.0,bottom
C72,1uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder_rectpads,27.305mm,-90.805mm,-90.0,bottom
C73,1uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder_rectpads,29.845mm,-81.915mm,0.0,bottom
C74,10uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder_rectpads,66.04mm,-82.55mm,90.0,bottom
C75,10uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder_rectpads,62.23mm,-106.045mm,-90.0,bottom
C76,10uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder_rectpads,68.58mm,-114.935mm,-90.0,bottom
C77,10uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder_rectpads,48.895mm,-114.935mm,-90.0,bottom
C78,10uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder_rectpads,36.195mm,-115.57mm,-90.0,bottom
C79,10uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder_rectpads,30.48mm,-115.57mm,-90.0,bottom
C80,10uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder_rectpads,33.655mm,-90.805mm,-90.0,bottom
C81,680pF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder_rectpads,70.485mm,-95.885mm,90.0,bottom
C82,680pF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder_rectpads,67.945mm,-95.885mm,90.0,bottom
C83,680pF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder_rectpads,54.61mm,-95.885mm,90.0,bottom
C84,680pF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder_rectpads,52.07mm,-95.885mm,90.0,bottom
C85,680pF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder_rectpads,49.53mm,-95.885mm,90.0,bottom
C86,680pF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder_rectpads,46.99mm,-95.885mm,90.0,bottom
C87,680pF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder_rectpads,31.115mm,-95.885mm,90.0,bottom
C88,680pF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder_rectpads,28.575mm,-95.885mm,90.0,bottom
C89,680pF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder_rectpads,34.925mm,-126.365mm,90.0,bottom
C90,680pF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder_rectpads,32.385mm,-126.365mm,90.0,bottom
C91,10nF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder_rectpads,71.755mm,-110.49mm,90.0,bottom
C92,22pF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder_rectpads,64.135mm,-126.365mm,90.0,bottom
C93,10uF Tantalum,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder_rectpads,40.64mm,-104.775mm,-90.0,bottom
C94,0.1uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder_rectpads,45.085mm,-27.94mm,-90.0,bottom
C95,22uF,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder_rectpads,62.228mm,-66.687mm,90.0,bottom
C96,22uF,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder_rectpads,65.403mm,-66.687mm,90.0,bottom
C97,22uF,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder_rectpads,60.962mm,-76.823mm,-90.0,bottom
D1,HD01-T,Diode_Bridge_reduced,69.8453mm,-67.9455mm,90.0,bottom
D2,5.1V 3W,D_SMB_Handsoldering_rectpads,69.2152mm,-104.775001mm,180.0,bottom
D3,5.1V,D_SMB_Handsoldering_rectpads,31.115mm,-45.6946mm,180.0,bottom
D4,5.1V,D_SMB_Handsoldering_rectpads,31.115mm,-50.1904mm,180.0,bottom
D5,1N4148W,D_SOD-123,27.3304mm,-32.511mm,90.0,bottom
D6,BZT52B5V1S,D_SOD-323F_rectpads,47.836mm,-93.0402mm,0.0,bottom
F1,100mA,Fuse_1812_4532Metric_Pad1.30x3.40mm_HandSolder_rectpads,29.845mm,-85.725mm,0.0,bottom
L1,600Ω @100MHz,L_0805_2012Metric_rectpads,60.96mm,-71.7507mm,-90.0,bottom
L2,10uH,L_Abracon_ASPI-4030S_rectpads,70.485mm,-82.5514mm,-90.0,bottom
L3,1.5uH,L_0805_2012Metric_rectpads,59.69mm,-110.49mm,90.0,bottom
Q1,FDV303N,SOT-23-3_rectpads,32.385mm,-60.9655mm,90.0,bottom
Q2,FDV303N,SOT-23-3_rectpads,28.575mm,-60.96mm,90.0,bottom
R103,100Ω,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder_rectpads,37.465mm,-46.355mm,90.0,bottom
R104,100Ω,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder_rectpads,37.465mm,-50.8mm,90.0,bottom
R105,100Ω,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder_rectpads,37.465mm,-57.785mm,-90.0,bottom
R106,100Ω,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder_rectpads,37.465mm,-62.23mm,-90.0,bottom
R107,100Ω,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder_rectpads,37.465mm,-66.675mm,-90.0,bottom
R108,100Ω,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder_rectpads,37.465mm,-71.12mm,-90.0,bottom
R109,100Ω,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder_rectpads,37.465mm,-75.565mm,-90.0,bottom
R110,100Ω,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder_rectpads,37.465mm,-80.01mm,-90.0,bottom
R111,100Ω,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder_rectpads,37.465mm,-84.455mm,-90.0,bottom
R112,100Ω,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder_rectpads,37.465mm,-88.9mm,90.0,bottom
R113,100Ω,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder_rectpads,44.45mm,-95.885mm,-90.0,bottom
R114,100Ω,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder_rectpads,59.055mm,-58.42mm,-90.0,bottom
R115,100Ω,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder_rectpads,59.055mm,-40.64mm,-90.0,bottom
R116,100Ω,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder_rectpads,37.465mm,-38.735mm,-90.0,bottom
R117,100Ω,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder_rectpads,34.925mm,-38.735mm,-90.0,bottom
R118,220,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder_rectpads,61.595mm,-126.365mm,-90.0,bottom
R119,470,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder_rectpads,61.595mm,-40.64mm,90.0,bottom
R120,4.7K,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder_rectpads,59.055mm,-45.085mm,90.0,bottom
R121,4.7K 1%,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder_rectpads,59.055mm,-53.975mm,-90.0,bottom
R122,4.7K,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder_rectpads,31.75mm,-65.405mm,90.0,bottom
R123,4.7K,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder_rectpads,28.575mm,-65.405mm,90.0,bottom
R124,4.7K 1%,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder_rectpads,62.23mm,-110.49mm,90.0,bottom
R125,11K 1%,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder_rectpads,59.69mm,-114.935mm,-90.0,bottom
R126,5.11K 1%,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder_rectpads,60.96mm,-82.55mm,90.0,bottom
R127,22K 1%,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder_rectpads,63.5mm,-82.55mm,90.0,bottom
R128,22K 1%,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder_rectpads,66.04mm,-72.39mm,90.0,bottom
R129,150K 1%,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder_rectpads,63.5mm,-72.39mm,-90.0,bottom
R130,150K 1%,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder_rectpads,59.055mm,-49.53mm,-90.0,bottom
R131,1K,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder_rectpads,37.465mm,-126.365mm,90.0,bottom
R132,1K,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder_rectpads,29.845mm,-126.365mm,90.0,bottom
R133,10K 0.05%,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder_rectpads,27.305mm,-104.775mm,90.0,bottom
R134,10K 0.05%,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder_rectpads,27.305mm,-113.665mm,90.0,bottom
R135,10K 0.05%,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder_rectpads,42.545mm,-126.365mm,-90.0,bottom
R136,10K 0.05%,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder_rectpads,69.215mm,-126.365mm,90.0,bottom
R137,10K 0.05%,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder_rectpads,66.675mm,-126.365mm,90.0,bottom
R138,20K 0.05%,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder_rectpads,45.085mm,-126.365mm,90.0,bottom
R139,75Ω ¼W,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder_rectpads,61.5944mm,-31.115mm,0.0,bottom
R140,75Ω ¼W,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder_rectpads,61.5944mm,-34.29mm,0.0,bottom
R141,75Ω ¼W,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder_rectpads,50.1644mm,-27.94mm,0.0,bottom
R142,75Ω ¼W,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder_rectpads,55.8794mm,-27.94mm,0.0,bottom
R143,75Ω ¼W,R_1206_3216Metric_Pad1.30x1.75mm_HandSolder_rectpads,61.5944mm,-27.94mm,0.0,bottom
R144,0Ω,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder_rectpads,41.275mm,-95.885mm,180.0,bottom
U13,LMR54406F,SOT-23-6_rectpads,67.307818mm,-77.46954mm,90.0,bottom
U14,LP2985A-5.0,SOT-23-5_reducedpads,68.58mm,-110.49mm,-90.0,bottom
U15,TPS7A2033,SOT-23-5_reducedpads,39.3704mm,-114.9304mm,90.0,bottom
U16,LP5907-1.8,SOT-23-5_reducedpads,30.482008mm,-90.806489mm,90.0,bottom
U17,MCP33131D,MSOP-10_3x3mm_P0.5mm_silkscreen+footprint,36.83mm,-94.615mm,90.0,bottom
U18,74LV4051,TSSOP-16_4.4x5mm_P0.65mm_silkscreen,60.96mm,-93.98mm,90.0,bottom
U19,DAC8568,TSSOP-16_4.4x5mm_P0.65mm_silkscreen,33.0102mm,-107.9423mm,90.0,bottom
U20,74LV1T125,SOT-23-5_reducedpads,70.4905mm,-87.6148mm,180.0,bottom
U21,74LV1T125,SOT-23-5_reducedpads,65.405mm,-87.63mm,180.0,bottom
U22,74LV1T125,SOT-23-5_reducedpads,60.328044mm,-87.628489mm,180.0,bottom
U23,74LV1T125,SOT-23-5_reducedpads,41.8977mm,-27.9447mm,90.0,bottom
U24,PCM1808,TSSOP-14_4.4x5mm_P0.65mm_silkscreen,46.355mm,-107.3227mm,90.0,bottom
U25,PCM1754,TSSOP-16_4.4x5mm_P0.65mm_silkscreen,53.9906mm,-107.315mm,90.0,bottom
U26,OPA2277,SOIC-8_3.9x4.9mm_P1.27mm_shiftedpads,53.3406mm,-126.365mm,180.0,bottom
